	Huysmans_ARebours_0	Huysmans_ARebours_1	Huysmans_ARebours_2	Huysmans_ARebours_3	Huysmans_ARebours_4	Huysmans_ARebours_5	Huysmans_ARebours_6	Huysmans_ARebours_7	Huysmans_ARebours_8	Huysmans_ARebours_9	Huysmans_ARebours_10	Huysmans_ARebours_11	Huysmans_ARebours_12	Huysmans_ARebours_13	Huysmans_ARebours_14	Huysmans_ARebours_15	Huysmans_ARebours_16	Huysmans_ARebours_sum
eux_PRO:PER_eux	3.0	2.0	1.0	2.0	0.0	3.0	3.0	0.0	0.0	4.0	4.0	1.0	3.0	2.0	2.0	3.0	0.0	33.0
coup_NOM_coup	1.0	1.0	2.0	0.0	1.0	5.0	4.0	0.0	4.0	2.0	1.0	0.0	1.0	2.0	5.0	4.0	0.0	33.0
jour_NOM_jour	2.0	4.0	3.0	5.0	3.0	1.0	2.0	1.0	3.0	3.0	2.0	0.0	0.0	1.0	1.0	2.0	0.0	33.0
déjà_ADV_déjà	3.0	0.0	4.0	2.0	1.0	1.0	3.0	2.0	3.0	1.0	2.0	2.0	1.0	3.0	2.0	2.0	0.0	32.0
forme_NOM_forme	0.0	0.0	2.0	2.0	2.0	3.0	3.0	0.0	1.0	1.0	4.0	3.0	2.0	5.0	4.0	0.0	0.0	32.0
jours_NOM_jour	2.0	1.0	1.0	1.0	0.0	4.0	3.0	2.0	1.0	0.0	1.0	1.0	3.0	7.0	2.0	2.0	1.0	32.0
quelque_PRO:IND_quelque	3.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	1.0	3.0	1.0	2.0	4.0	4.0	1.0	0.0	32.0
aucun_PRO:IND_aucun	8.0	3.0	2.0	0.0	1.0	2.0	3.0	0.0	0.0	2.0	1.0	0.0	1.0	3.0	2.0	3.0	0.0	31.0
souvenirs_NOM_souvenir	2.0	0.0	0.0	2.0	6.0	5.0	2.0	1.0	3.0	2.0	0.0	0.0	1.0	3.0	3.0	1.0	0.0	31.0
Cette_PRO:DEM_ce	1.0	2.0	2.0	0.0	2.0	1.0	1.0	2.0	1.0	0.0	2.0	3.0	3.0	3.0	6.0	2.0	0.0	31.0
je_PRO:PER_je	0.0	0.0	0.0	1.0	0.0	15.0	1.0	1.0	2.0	1.0	4.0	0.0	0.0	0.0	1.0	3.0	1.0	30.0
fond_NOM_fond	0.0	1.0	0.0	4.0	3.0	1.0	2.0	2.0	1.0	3.0	1.0	3.0	5.0	2.0	2.0	0.0	0.0	30.0
somme_NOM_somme	1.0	1.0	2.0	0.0	1.0	5.0	2.0	0.0	4.0	2.0	3.0	3.0	3.0	3.0	0.0	0.0	0.0	30.0
sens_NOM_sens	2.0	1.0	2.0	2.0	1.0	3.0	2.0	3.0	1.0	1.0	0.0	2.0	1.0	3.0	4.0	2.0	0.0	30.0
rue_NOM_rue	3.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	3.0	8.0	0.0	1.0	4.0	0.0	0.0	1.0	0.0	29.0
corps_NOM_corps	0.0	0.0	1.0	1.0	6.0	4.0	2.0	7.0	1.0	3.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	29.0
Dans_PRP_dans	1.0	1.0	2.0	2.0	5.0	1.0	0.0	0.0	1.0	2.0	0.0	5.0	2.0	0.0	4.0	2.0	1.0	29.0
?_SENT_?	0.0	3.0	0.0	2.0	1.0	3.0	1.0	2.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	10.0	2.0	29.0
celui_PRO:DEM_celui	1.0	5.0	1.0	0.0	2.0	1.0	1.0	3.0	1.0	1.0	2.0	2.0	3.0	3.0	1.0	2.0	0.0	29.0
celle_PRO:DEM_celui	2.0	2.0	1.0	1.0	3.0	6.0	0.0	0.0	5.0	0.0	2.0	1.0	3.0	1.0	1.0	1.0	0.0	29.0
côté_NOM_côté	4.0	1.0	1.0	1.0	1.0	4.0	2.0	2.0	1.0	2.0	2.0	1.0	0.0	5.0	1.0	1.0	0.0	29.0
heures_NOM_heure	0.0	4.0	0.0	2.0	1.0	1.0	0.0	5.0	1.0	6.0	0.0	0.0	1.0	2.0	2.0	4.0	0.0	29.0
pièce_NOM_pièce	3.0	6.0	0.0	2.0	5.0	0.0	1.0	3.0	4.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	28.0
littérature_NOM_littérature	0.0	2.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	9.0	3.0	0.0	4.0	4.0	1.0	0.0	28.0
quand_KON_quand	5.0	2.0	0.0	1.0	2.0	1.0	3.0	2.0	1.0	1.0	1.0	0.0	3.0	0.0	1.0	5.0	0.0	28.0
or_NOM_or	0.0	3.0	5.0	5.0	3.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	28.0
pourtant_ADV_pourtant	3.0	0.0	2.0	0.0	1.0	2.0	1.0	2.0	1.0	1.0	3.0	2.0	4.0	0.0	2.0	4.0	0.0	28.0
Ce_PRO:DEM_ce	2.0	0.0	1.0	2.0	1.0	3.0	0.0	0.0	2.0	1.0	2.0	2.0	6.0	3.0	1.0	2.0	0.0	28.0
sont_VER:pres_être	1.0	0.0	3.0	5.0	1.0	1.0	3.0	0.0	6.0	1.0	3.0	0.0	1.0	0.0	1.0	2.0	0.0	28.0
contre_PRP_contre	0.0	2.0	7.0	3.0	1.0	3.0	1.0	1.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	4.0	0.0	27.0
argent_NOM_argent	2.0	3.0	3.0	4.0	2.0	1.0	2.0	0.0	2.0	1.0	1.0	1.0	2.0	0.0	1.0	2.0	0.0	27.0
Esseintes_NOM_esseintes	2.0	0.0	1.0	0.0	6.0	2.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	2.0	4.0	3.0	0.0	27.0
-même_ADJ_même	1.0	0.0	0.0	2.0	0.0	6.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0	3.0	2.0	6.0	0.0	26.0
faire_VER:infi_faire	3.0	3.0	1.0	2.0	1.0	4.0	1.0	2.0	2.0	0.0	1.0	0.0	3.0	0.0	1.0	2.0	0.0	26.0
vous_PRO:PER_vous	1.0	3.0	0.0	1.0	1.0	4.0	7.0	1.0	1.0	2.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	26.0
terre_NOM_terre	1.0	1.0	3.0	2.0	0.0	1.0	3.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	3.0	0.0	26.0
fit_VER:simp_faire	1.0	4.0	0.0	4.0	4.0	1.0	1.0	4.0	0.0	2.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	26.0
Ces_PRO:DEM_ce	1.0	1.0	3.0	2.0	5.0	0.0	3.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	4.0	2.0	0.0	26.0
oeuvre_NOM_œuvre	0.0	0.0	3.0	1.0	2.0	0.0	1.0	1.0	5.0	0.0	1.0	0.0	3.0	7.0	2.0	0.0	0.0	26.0
maison_NOM_maison	7.0	4.0	1.0	1.0	3.0	0.0	2.0	1.0	1.0	1.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	26.0
un_NOM_un	2.0	2.0	1.0	2.0	2.0	0.0	0.0	3.0	0.0	1.0	4.0	3.0	1.0	2.0	3.0	0.0	0.0	26.0
table_NOM_table	1.0	4.0	1.0	2.0	2.0	0.0	0.0	1.0	4.0	2.0	0.0	2.0	2.0	0.0	2.0	2.0	0.0	25.0
point_NOM_point	2.0	2.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	1.0	2.0	2.0	6.0	1.0	1.0	3.0	0.0	25.0
trop_ADV_trop	0.0	0.0	4.0	4.0	0.0	2.0	3.0	0.0	3.0	0.0	3.0	3.0	1.0	2.0	0.0	0.0	0.0	25.0
bout_NOM_bout	2.0	1.0	1.0	1.0	0.0	2.0	5.0	2.0	0.0	3.0	0.0	1.0	4.0	1.0	1.0	1.0	0.0	25.0
pensées_NOM_pensée	2.0	1.0	1.0	0.0	2.0	3.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	1.0	3.0	1.0	0.0	25.0
pour_KON_pour	3.0	4.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	4.0	1.0	1.0	0.0	25.0
cela_PRO:DEM_cela	0.0	2.0	1.0	1.0	2.0	0.0	0.0	3.0	2.0	3.0	2.0	1.0	5.0	1.0	0.0	2.0	0.0	25.0
faisait_VER:impf_faire	0.0	3.0	3.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	2.0	5.0	1.0	3.0	0.0	1.0	0.0	25.0
époque_NOM_époque	0.0	2.0	2.0	2.0	2.0	1.0	0.0	0.0	3.0	0.0	2.0	1.0	3.0	4.0	1.0	1.0	0.0	24.0
pièces_NOM_pièce	0.0	4.0	0.0	0.0	5.0	0.0	1.0	1.0	2.0	0.0	1.0	1.0	2.0	2.0	4.0	1.0	0.0	24.0
livre_NOM_livre	0.0	2.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	7.0	0.0	4.0	6.0	0.0	0.0	24.0
nom_NOM_nom	0.0	1.0	2.0	3.0	1.0	1.0	2.0	1.0	4.0	2.0	2.0	1.0	2.0	1.0	1.0	0.0	0.0	24.0
existence_NOM_existence	2.0	1.0	1.0	3.0	1.0	4.0	1.0	1.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	5.0	0.0	24.0
salle_NOM_salle	2.0	3.0	2.0	3.0	2.0	0.0	0.0	2.0	1.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	24.0
Dieu_NOM_dieu	0.0	1.0	1.0	0.0	0.0	8.0	0.0	1.0	0.0	0.0	1.0	6.0	1.0	0.0	2.0	1.0	1.0	23.0
ciel_NOM_ciel	2.0	2.0	0.0	2.0	2.0	0.0	1.0	0.0	5.0	3.0	0.0	3.0	1.0	1.0	0.0	0.0	1.0	23.0
âge_NOM_âge	1.0	0.0	2.0	1.0	1.0	4.0	0.0	0.0	1.0	0.0	1.0	5.0	2.0	2.0	3.0	0.0	0.0	23.0
petit_ADJ_petit	3.0	2.0	1.0	3.0	2.0	1.0	0.0	2.0	0.0	3.0	0.0	3.0	1.0	1.0	1.0	0.0	0.0	23.0
saint_ADJ_saint	0.0	0.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	4.0	3.0	0.0	23.0
mots_NOM_mot	2.0	4.0	6.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	2.0	1.0	1.0	0.0	23.0
siècles_NOM_siècle	1.0	0.0	6.0	2.0	0.0	3.0	2.0	0.0	1.0	0.0	1.0	3.0	0.0	2.0	1.0	1.0	0.0	23.0
couleurs_NOM_couleur	4.0	1.0	2.0	3.0	2.0	0.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	22.0
tour_NOM_tour	3.0	3.0	1.0	4.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	22.0
certaines_PRO:IND_certain	0.0	2.0	4.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	3.0	1.0	1.0	1.0	3.0	2.0	0.0	22.0
Un_DET:ART_un	0.0	0.0	1.0	4.0	1.0	0.0	0.0	1.0	1.0	5.0	0.0	3.0	2.0	1.0	1.0	2.0	0.0	22.0
pu_VER:pper_pouvoir	1.0	0.0	0.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	5.0	3.0	3.0	0.0	22.0
force_NOM_force	1.0	1.0	0.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	0.0	2.0	2.0	2.0	1.0	4.0	0.0	22.0
mêmes_ADJ_même	3.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	9.0	1.0	0.0	1.0	0.0	22.0
chambre_NOM_chambre	3.0	0.0	1.0	1.0	8.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	22.0
domestique_NOM_domestique	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	4.0	3.0	3.0	5.0	1.0	22.0
Fontenay_NAM_fontenay	2.0	3.0	1.0	0.0	0.0	2.0	1.0	0.0	4.0	0.0	2.0	0.0	3.0	0.0	0.0	4.0	0.0	22.0
jadis_ADV_jadis	2.0	1.0	0.0	1.0	1.0	1.0	1.0	3.0	3.0	0.0	1.0	3.0	2.0	1.0	1.0	0.0	1.0	22.0
bras_NOM_bras	0.0	0.0	0.0	5.0	2.0	1.0	2.0	5.0	0.0	2.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	22.0
sang_NOM_sang	3.0	0.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	22.0
leur_PRO:PER_lui	1.0	1.0	1.0	0.0	2.0	3.0	2.0	1.0	0.0	1.0	0.0	1.0	5.0	0.0	0.0	4.0	0.0	22.0
moment_NOM_moment	2.0	2.0	0.0	2.0	0.0	2.0	1.0	1.0	1.0	2.0	0.0	1.0	0.0	4.0	2.0	2.0	0.0	22.0
tels_PRO:DEM_tel	1.0	1.0	6.0	0.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	4.0	1.0	1.0	1.0	1.0	0.0	22.0
rouge_ADJ_rouge	3.0	3.0	1.0	3.0	2.0	1.0	3.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	21.0
rien_ADV_rien	0.0	2.0	0.0	1.0	2.0	3.0	3.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	21.0
place_NOM_place	0.0	2.0	1.0	2.0	0.0	0.0	2.0	1.0	1.0	2.0	2.0	1.0	3.0	2.0	2.0	0.0	0.0	21.0
fût_VER:subi_être	0.0	1.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	1.0	3.0	1.0	3.0	4.0	0.0	2.0	0.0	21.0
semblait_VER:impf_sembler	2.0	2.0	2.0	1.0	1.0	3.0	2.0	1.0	0.0	1.0	0.0	2.0	0.0	3.0	1.0	0.0	0.0	21.0
maîtres_NOM_maître	1.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	3.0	2.0	1.0	2.0	3.0	0.0	0.0	21.0
donc_ADV_donc	2.0	2.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	2.0	4.0	0.0	21.0
ailleurs_ADV_ailleurs	2.0	3.0	1.0	3.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	2.0	4.0	0.0	21.0
mal_ADV_mal	2.0	2.0	4.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	4.0	2.0	0.0	1.0	1.0	0.0	21.0
série_NOM_série	2.0	0.0	2.0	2.0	3.0	0.0	2.0	1.0	0.0	2.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	20.0
état_NOM_état	0.0	1.0	0.0	0.0	1.0	2.0	1.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	0.0	20.0
nature_NOM_nature	1.0	1.0	1.0	0.0	0.0	1.0	4.0	0.0	8.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	20.0
tel_PRO:DEM_tel	3.0	4.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	3.0	1.0	2.0	1.0	1.0	0.0	20.0
Baudelaire_NAM_baudelaire	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	4.0	1.0	0.0	9.0	3.0	0.0	0.0	20.0
assez_ADV_assez	2.0	1.0	1.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	2.0	2.0	4.0	1.0	0.0	1.0	0.0	20.0
grâce_NOM_grâce	0.0	1.0	2.0	1.0	2.0	2.0	3.0	0.0	1.0	0.0	4.0	0.0	2.0	1.0	1.0	0.0	0.0	20.0
cependant_ADV_cependant	3.0	1.0	2.0	0.0	1.0	2.0	2.0	2.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.0	20.0
fleur_NOM_fleur	1.0	1.0	0.0	3.0	1.0	1.0	4.0	1.0	6.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	20.0
nouveau_ADJ_nouveau	5.0	1.0	0.0	1.0	1.0	1.0	3.0	0.0	2.0	3.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	20.0
toujours_ADV_toujours	1.0	2.0	1.0	1.0	2.0	1.0	3.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0	3.0	0.0	20.0
lettres_NOM_lettre	3.0	1.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	1.0	3.0	1.0	0.0	19.0
parfums_NOM_parfum	0.0	2.0	0.0	2.0	0.0	0.0	0.0	4.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	19.0
humaine_ADJ_humain	1.0	2.0	0.0	1.0	1.0	2.0	2.0	0.0	0.0	1.0	2.0	2.0	2.0	1.0	0.0	1.0	1.0	19.0
Alors_ADV_alors	0.0	0.0	0.0	1.0	0.0	1.0	3.0	3.0	1.0	0.0	1.0	0.0	2.0	1.0	3.0	3.0	0.0	19.0
coups_NOM_coup	0.0	2.0	2.0	1.0	0.0	1.0	1.0	4.0	0.0	0.0	2.0	1.0	3.0	0.0	1.0	1.0	0.0	19.0
dès_PRP_dès	2.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	0.0	0.0	3.0	1.0	1.0	2.0	0.0	19.0
Puis_ADV_puis	1.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	2.0	1.0	3.0	0.0	2.0	2.0	1.0	1.0	0.0	19.0
D'_PRP_de	2.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	1.0	1.0	2.0	0.0	2.0	6.0	0.0	0.0	19.0
certains_PRO:IND_certain	1.0	0.0	3.0	1.0	2.0	1.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	3.0	1.0	1.0	0.0	19.0
enfant_NOM_enfant	2.0	1.0	1.0	0.0	4.0	5.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	19.0
souvent_ADV_souvent	0.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0	3.0	1.0	4.0	3.0	0.0	0.0	19.0
cervelle_NOM_cervelle	0.0	1.0	0.0	1.0	1.0	1.0	0.0	5.0	0.0	0.0	2.0	1.0	3.0	2.0	1.0	1.0	0.0	19.0
fer_NOM_fer	2.0	4.0	1.0	1.0	1.0	0.0	3.0	1.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	19.0
ceux_PRO:DEM_celui	0.0	2.0	1.0	2.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	3.0	1.0	4.0	0.0	0.0	0.0	19.0
immense_ADJ_immense	3.0	2.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	19.0
laquelle_PRO:REL_lequel	0.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	3.0	1.0	4.0	1.0	1.0	1.0	1.0	0.0	19.0
bouche_NOM_bouche	0.0	0.0	0.0	5.0	2.0	1.0	2.0	3.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	19.0
coeur_NOM_cœur	0.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	0.0	0.0	1.0	3.0	3.0	2.0	2.0	1.0	1.0	19.0
peut-être_ADV_peut-être	1.0	0.0	1.0	2.0	0.0	2.0	0.0	2.0	0.0	3.0	0.0	1.0	3.0	3.0	0.0	1.0	0.0	19.0
porte_NOM_porte	1.0	1.0	1.0	3.0	0.0	0.0	2.0	1.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	19.0
cabinet_NOM_cabinet	0.0	5.0	0.0	1.0	4.0	0.0	0.0	3.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	19.0
poème_NOM_poème	0.0	3.0	7.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	19.0
Au_PRP:det_au	0.0	3.0	1.0	2.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	1.0	4.0	0.0	2.0	0.0	0.0	18.0
odeur_NOM_odeur	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	9.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	18.0
société_NOM_société	2.0	0.0	3.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	5.0	0.0	18.0
tons_NOM_ton	2.0	1.0	3.0	1.0	3.0	0.0	2.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	18.0
musique_NOM_musique	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	18.0
mains_NOM_main	1.0	0.0	1.0	3.0	3.0	2.0	1.0	1.0	2.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	18.0
peine_NOM_peine	4.0	1.0	2.0	0.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	18.0
plein_ADJ_plein	0.0	0.0	3.0	2.0	2.0	3.0	1.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	18.0
murs_NOM_mur	1.0	4.0	0.0	1.0	3.0	1.0	0.0	0.0	3.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	18.0
aussitôt_ADV_aussitôt	2.0	1.0	0.0	0.0	1.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	1.0	1.0	2.0	3.0	0.0	18.0
avant_PRP_avant	2.0	2.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	3.0	0.0	18.0
fait_VER:pper_faire	1.0	2.0	0.0	1.0	3.0	1.0	1.0	2.0	0.0	0.0	2.0	0.0	2.0	2.0	1.0	0.0	0.0	18.0
Elle_PRO:PER_elle	0.0	0.0	0.0	4.0	2.0	1.0	5.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	18.0
Une_DET:ART_un	2.0	0.0	1.0	2.0	1.0	0.0	3.0	1.0	3.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	18.0
bibliothèque_NOM_bibliothèque	1.0	1.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	2.0	0.0	1.0	1.0	0.0	18.0
peau_NOM_peau	0.0	2.0	1.0	4.0	0.0	0.0	1.0	3.0	1.0	0.0	3.0	0.0	0.0	0.0	2.0	1.0	0.0	18.0
surtout_ADV_surtout	0.0	0.0	2.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	3.0	0.0	1.0	4.0	4.0	0.0	0.0	18.0
lit_NOM_lit	0.0	1.0	0.0	0.0	5.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	2.0	2.0	1.0	0.0	0.0	17.0
C'_PRO:DEM_ce	1.0	0.0	1.0	2.0	0.0	2.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	3.0	0.0	17.0
bois_NOM_bois	1.0	5.0	0.0	3.0	4.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	17.0
telle_PRO:DEM_tel	0.0	4.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	2.0	3.0	0.0	1.0	0.0	1.0	1.0	0.0	17.0
écrivain_NOM_écrivain	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	1.0	4.0	1.0	0.0	0.0	17.0
autour_ADV_autour	2.0	1.0	3.0	0.0	0.0	2.0	0.0	1.0	0.0	4.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	17.0
non_ADV_non	1.0	0.0	0.0	0.0	0.0	2.0	1.0	3.0	1.0	2.0	2.0	1.0	1.0	3.0	0.0	0.0	0.0	17.0
années_NOM_année	0.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	2.0	3.0	0.0	17.0
travers_NOM_travers	0.0	0.0	2.0	0.0	1.0	1.0	3.0	0.0	2.0	3.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	17.0
fallait_VER:impf_falloir	0.0	2.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	2.0	0.0	4.0	0.0	17.0
pensée_NOM_pensée	1.0	0.0	1.0	2.0	0.0	2.0	0.0	1.0	0.0	1.0	4.0	1.0	2.0	1.0	1.0	0.0	0.0	17.0
nouvelle_ADJ_nouveau	1.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	2.0	1.0	0.0	0.0	1.0	3.0	1.0	3.0	0.0	17.0
façon_NOM_façon	3.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	5.0	1.0	0.0	17.0
dire_VER:infi_dire	0.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	2.0	0.0	2.0	2.0	0.0	4.0	0.0	17.0
nouvelles_ADJ_nouveau	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	3.0	2.0	0.0	17.0
pierres_NOM_pierre	0.0	0.0	1.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	17.0
face_NOM_face	1.0	2.0	0.0	2.0	3.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	17.0
médecin_NOM_médecin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	13.0	0.0	17.0
très_ADV_très	1.0	1.0	1.0	0.0	1.0	1.0	1.0	4.0	4.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	17.0
À_PRP_à	3.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	17.0
une_NUM_un	0.0	1.0	0.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	17.0
afin_KON_afin	0.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	3.0	0.0	1.0	2.0	2.0	2.0	1.0	0.0	0.0	17.0
ombre_NOM_ombre	3.0	4.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	17.0
ont_VER:pres_avoir	0.0	3.0	0.0	2.0	2.0	1.0	0.0	0.0	4.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	17.0
prose_NOM_prose	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	3.0	0.0	1.0	5.0	0.0	0.0	16.0
un_NUM_un	3.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	1.0	3.0	0.0	2.0	0.0	0.0	16.0
fin_NOM_fin	2.0	1.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	2.0	0.0	16.0
