	Huysmans_SœursVatard_0	Huysmans_SœursVatard_1	Huysmans_SœursVatard_2	Huysmans_SœursVatard_3	Huysmans_SœursVatard_4	Huysmans_SœursVatard_5	Huysmans_SœursVatard_6	Huysmans_SœursVatard_7	Huysmans_SœursVatard_8	Huysmans_SœursVatard_9	Huysmans_SœursVatard_10	Huysmans_SœursVatard_11	Huysmans_SœursVatard_12	Huysmans_SœursVatard_13	Huysmans_SœursVatard_14	Huysmans_SœursVatard_15	Huysmans_SœursVatard_16	Huysmans_SœursVatard_sum
jusqu'_PRP_jusque	1.0	5.0	4.0	4.0	4.0	5.0	2.0	3.0	2.0	4.0	5.0	1.0	8.0	1.0	0.0	6.0	0.0	55.0
Je_PRO:PER_je	1.0	0.0	1.0	0.0	1.0	5.0	4.0	12.0	3.0	8.0	1.0	2.0	2.0	1.0	4.0	5.0	5.0	55.0
jour_NOM_jour	3.0	1.0	7.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	6.0	2.0	4.0	5.0	6.0	4.0	3.0	54.0
jours_NOM_jour	3.0	0.0	4.0	2.0	1.0	2.0	1.0	2.0	1.0	3.0	3.0	3.0	15.0	9.0	4.0	0.0	1.0	54.0
Teston_NAM_teston	3.0	15.0	4.0	0.0	2.0	2.0	3.0	0.0	3.0	12.0	0.0	1.0	0.0	0.0	3.0	0.0	5.0	53.0
"""""""""_PUN:cit_"""""""""	6.0	0.0	8.0	4.0	6.0	10.0	3.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	4.0	2.0	53.0
enfin_ADV_enfin	2.0	2.0	3.0	4.0	7.0	4.0	4.0	4.0	2.0	3.0	2.0	3.0	5.0	3.0	2.0	3.0	0.0	53.0
point_ADV_point	1.0	1.0	3.0	6.0	1.0	3.0	2.0	4.0	5.0	2.0	6.0	3.0	2.0	4.0	5.0	3.0	1.0	52.0
dit_VER:pres_dire	2.0	8.0	3.0	5.0	2.0	5.0	1.0	1.0	2.0	2.0	3.0	1.0	2.0	3.0	4.0	6.0	2.0	52.0
Ah_INT_ah	3.0	4.0	3.0	4.0	1.0	2.0	1.0	5.0	6.0	3.0	0.0	1.0	3.0	6.0	3.0	1.0	5.0	51.0
mal_ADV_mal	6.0	5.0	4.0	4.0	2.0	1.0	3.0	5.0	2.0	2.0	1.0	2.0	0.0	5.0	2.0	7.0	0.0	51.0
entre_PRP_entre	2.0	6.0	7.0	4.0	1.0	3.0	3.0	5.0	2.0	2.0	6.0	5.0	0.0	1.0	2.0	1.0	0.0	50.0
Alors_ADV_alors	3.0	4.0	0.0	0.0	0.0	1.0	4.0	0.0	7.0	5.0	4.0	4.0	4.0	3.0	3.0	5.0	3.0	50.0
même_ADJ_même	4.0	3.0	5.0	4.0	4.0	1.0	4.0	5.0	2.0	1.0	5.0	4.0	1.0	1.0	4.0	2.0	0.0	50.0
toujours_ADV_toujours	0.0	2.0	0.0	6.0	2.0	2.0	3.0	1.0	6.0	10.0	3.0	0.0	4.0	3.0	2.0	3.0	2.0	49.0
eût_VER:subi_avoir	0.0	2.0	2.0	1.0	1.0	2.0	3.0	7.0	5.0	1.0	7.0	5.0	1.0	6.0	1.0	3.0	2.0	49.0
dont_PRO:REL_dont	4.0	4.0	6.0	4.0	3.0	5.0	3.0	3.0	0.0	2.0	1.0	3.0	3.0	1.0	2.0	5.0	0.0	49.0
ni_KON_ni	0.0	0.0	2.0	10.0	4.0	4.0	4.0	2.0	0.0	0.0	0.0	3.0	5.0	6.0	2.0	2.0	4.0	48.0
fois_NOM_fois	1.0	1.0	2.0	3.0	3.0	4.0	3.0	2.0	2.0	0.0	5.0	1.0	5.0	7.0	4.0	4.0	1.0	48.0
eau_NOM_eau	6.0	7.0	5.0	4.0	2.0	3.0	5.0	1.0	3.0	0.0	4.0	1.0	1.0	2.0	1.0	3.0	0.0	48.0
maintenant_ADV_maintenant	0.0	3.0	1.0	1.0	2.0	2.0	4.0	0.0	2.0	3.0	3.0	4.0	6.0	4.0	7.0	4.0	1.0	47.0
Un_DET:ART_un	4.0	1.0	1.0	3.0	4.0	3.0	2.0	0.0	0.0	4.0	9.0	7.0	2.0	3.0	2.0	1.0	1.0	47.0
heures_NOM_heure	7.0	2.0	2.0	0.0	4.0	0.0	8.0	3.0	0.0	3.0	2.0	4.0	4.0	4.0	1.0	1.0	2.0	47.0
coup_NOM_coup	1.0	5.0	0.0	3.0	3.0	6.0	2.0	1.0	2.0	3.0	3.0	0.0	3.0	4.0	3.0	5.0	2.0	46.0
ainsi_ADV_ainsi	0.0	0.0	3.0	0.0	0.0	0.0	2.0	2.0	6.0	3.0	2.0	6.0	6.0	7.0	6.0	2.0	1.0	46.0
gens_NOM_gens	0.0	2.0	1.0	4.0	4.0	3.0	2.0	0.0	1.0	4.0	3.0	5.0	6.0	2.0	3.0	4.0	2.0	46.0
lorsqu'_KON_lorsque	0.0	1.0	3.0	1.0	2.0	4.0	1.0	4.0	4.0	5.0	2.0	2.0	2.0	8.0	4.0	1.0	2.0	46.0
près_ADV_près	3.0	3.0	3.0	4.0	1.0	2.0	4.0	3.0	0.0	2.0	4.0	5.0	4.0	1.0	1.0	3.0	2.0	45.0
jeune_ADJ_jeune	1.0	0.0	3.0	7.0	2.0	3.0	4.0	4.0	3.0	2.0	6.0	2.0	3.0	1.0	4.0	0.0	0.0	45.0
faisait_VER:impf_faire	0.0	2.0	3.0	3.0	4.0	4.0	4.0	1.0	3.0	3.0	4.0	0.0	2.0	7.0	2.0	2.0	1.0	45.0
L'_DET:ART_le	2.0	5.0	4.0	2.0	1.0	3.0	3.0	0.0	3.0	2.0	2.0	3.0	2.0	3.0	3.0	6.0	1.0	45.0
t'_PRO:PER_te	3.0	0.0	1.0	0.0	0.0	3.0	2.0	2.0	3.0	14.0	1.0	2.0	3.0	2.0	5.0	4.0	0.0	45.0
ailleurs_ADV_ailleurs	0.0	1.0	6.0	0.0	4.0	4.0	3.0	3.0	4.0	4.0	0.0	2.0	2.0	3.0	5.0	3.0	0.0	44.0
pouvait_VER:impf_pouvoir	1.0	1.0	4.0	5.0	3.0	3.0	0.0	1.0	3.0	2.0	2.0	3.0	6.0	2.0	4.0	3.0	1.0	44.0
filles_NOM_fille	5.0	8.0	4.0	1.0	2.0	4.0	3.0	5.0	2.0	0.0	0.0	2.0	1.0	0.0	4.0	0.0	2.0	43.0
mains_NOM_main	6.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	3.0	1.0	5.0	2.0	1.0	2.0	3.0	3.0	5.0	43.0
-vous_PRO:PER_vous	1.0	4.0	2.0	4.0	2.0	0.0	3.0	3.0	5.0	2.0	2.0	3.0	2.0	4.0	4.0	1.0	1.0	43.0
allait_VER:impf_aller	6.0	2.0	0.0	3.0	2.0	3.0	0.0	4.0	2.0	2.0	2.0	4.0	3.0	6.0	2.0	0.0	1.0	42.0
jamais_ADV_jamais	1.0	0.0	7.0	3.0	1.0	3.0	1.0	6.0	5.0	3.0	1.0	2.0	0.0	2.0	4.0	0.0	3.0	42.0
si_ADV_si	1.0	2.0	1.0	5.0	1.0	3.0	1.0	2.0	1.0	1.0	2.0	7.0	3.0	4.0	3.0	2.0	3.0	42.0
eu_VER:pper_avoir	0.0	4.0	3.0	4.0	1.0	1.0	3.0	3.0	2.0	2.0	2.0	6.0	1.0	5.0	0.0	2.0	3.0	42.0
aller_VER:infi_aller	0.0	3.0	2.0	5.0	1.0	1.0	0.0	1.0	5.0	2.0	0.0	6.0	4.0	4.0	5.0	2.0	0.0	41.0
trop_ADV_trop	4.0	7.0	3.0	2.0	2.0	3.0	4.0	0.0	4.0	4.0	0.0	1.0	0.0	2.0	1.0	4.0	0.0	41.0
te_PRO:PER_te	0.0	0.0	0.0	3.0	0.0	1.0	9.0	5.0	2.0	9.0	0.0	0.0	2.0	1.0	6.0	3.0	0.0	41.0
suis_VER:pres_suivre|être	0.0	1.0	2.0	1.0	2.0	3.0	0.0	9.0	7.0	0.0	0.0	0.0	6.0	0.0	2.0	3.0	4.0	40.0
mieux_ADV_mieux	2.0	3.0	0.0	4.0	5.0	2.0	0.0	3.0	5.0	2.0	0.0	0.0	5.0	0.0	4.0	3.0	2.0	40.0
bon_ADJ_bon	2.0	2.0	4.0	1.0	2.0	3.0	3.0	2.0	0.0	3.0	0.0	4.0	2.0	2.0	6.0	2.0	2.0	40.0
maison_NOM_maison	4.0	2.0	3.0	5.0	1.0	3.0	3.0	2.0	3.0	1.0	2.0	1.0	1.0	1.0	5.0	1.0	1.0	39.0
heure_NOM_heure	3.0	2.0	1.0	5.0	2.0	1.0	2.0	2.0	5.0	2.0	4.0	0.0	2.0	4.0	3.0	1.0	0.0	39.0
leur_PRO:PER_lui	1.0	1.0	2.0	2.0	4.0	5.0	1.0	0.0	0.0	1.0	1.0	7.0	5.0	2.0	5.0	1.0	0.0	38.0
nez_NOM_nez	3.0	3.0	4.0	6.0	1.0	2.0	4.0	3.0	0.0	2.0	2.0	2.0	1.0	0.0	1.0	3.0	1.0	38.0
porte_NOM_porte	1.0	4.0	1.0	0.0	2.0	3.0	5.0	1.0	4.0	0.0	2.0	2.0	3.0	3.0	2.0	4.0	1.0	38.0
mon_DET:POS_mon	0.0	3.0	0.0	5.0	2.0	3.0	1.0	5.0	4.0	6.0	0.0	2.0	1.0	1.0	1.0	1.0	3.0	38.0
moi_PRO:PER_moi	3.0	0.0	1.0	2.0	1.0	2.0	2.0	5.0	5.0	6.0	0.0	1.0	2.0	5.0	0.0	1.0	1.0	37.0
contre_PRP_contre	5.0	0.0	2.0	1.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	2.0	4.0	2.0	3.0	0.0	0.0	37.0
vin_NOM_vin	6.0	4.0	6.0	1.0	3.0	1.0	2.0	1.0	3.0	0.0	1.0	4.0	1.0	0.0	3.0	1.0	0.0	37.0
disait_VER:impf_dire	1.0	3.0	1.0	2.0	1.0	0.0	1.0	3.0	4.0	0.0	2.0	1.0	6.0	7.0	4.0	0.0	0.0	36.0
depuis_PRP_depuis	1.0	1.0	4.0	1.0	1.0	3.0	1.0	1.0	2.0	1.0	2.0	4.0	1.0	4.0	4.0	1.0	4.0	36.0
fallait_VER:impf_falloir	4.0	1.0	0.0	5.0	6.0	2.0	3.0	2.0	2.0	0.0	0.0	2.0	0.0	1.0	6.0	2.0	0.0	36.0
monde_NOM_monde	3.0	2.0	1.0	2.0	4.0	2.0	2.0	0.0	4.0	3.0	0.0	4.0	2.0	1.0	3.0	2.0	1.0	36.0
oeil_NOM_œil	2.0	2.0	5.0	1.0	1.0	1.0	1.0	2.0	9.0	4.0	2.0	0.0	2.0	1.0	0.0	2.0	1.0	36.0
prendre_VER:infi_prendre	1.0	3.0	1.0	3.0	2.0	1.0	2.0	3.0	3.0	1.0	3.0	2.0	4.0	3.0	0.0	3.0	1.0	36.0
dire_VER:infi_dire	2.0	0.0	1.0	2.0	3.0	3.0	1.0	3.0	2.0	2.0	4.0	1.0	2.0	2.0	3.0	3.0	1.0	35.0
Des_PRP:det_du	3.0	0.0	0.0	1.0	4.0	4.0	5.0	1.0	3.0	2.0	0.0	1.0	3.0	1.0	2.0	3.0	2.0	35.0
pendant_PRP_pendant	1.0	2.0	2.0	3.0	1.0	2.0	2.0	1.0	1.0	0.0	3.0	3.0	2.0	5.0	4.0	2.0	1.0	35.0
argent_NOM_argent	3.0	0.0	2.0	2.0	4.0	4.0	1.0	4.0	3.0	0.0	2.0	2.0	1.0	2.0	5.0	0.0	0.0	35.0
ma_DET:POS_mon	3.0	1.0	3.0	0.0	1.0	1.0	0.0	5.0	3.0	5.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	34.0
'_PUN_'	0.0	2.0	2.0	0.0	3.0	2.0	1.0	5.0	0.0	0.0	1.0	1.0	3.0	4.0	1.0	5.0	4.0	34.0
Une_DET:ART_un	3.0	2.0	1.0	2.0	5.0	4.0	2.0	0.0	1.0	2.0	1.0	0.0	2.0	1.0	3.0	3.0	2.0	34.0
matin_NOM_matin	4.0	0.0	4.0	1.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	3.0	4.0	1.0	3.0	1.0	0.0	34.0
fait_VER:pper_faire	1.0	1.0	3.0	2.0	3.0	1.0	0.0	5.0	5.0	3.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	34.0
eux_PRO:PER_eux	2.0	3.0	1.0	2.0	2.0	1.0	1.0	3.0	0.0	3.0	5.0	2.0	2.0	2.0	2.0	3.0	0.0	34.0
trois_NUM_trois	2.0	1.0	0.0	6.0	0.0	3.0	4.0	1.0	2.0	5.0	2.0	0.0	1.0	2.0	2.0	2.0	0.0	33.0
voulait_VER:impf_vouloir	1.0	2.0	4.0	2.0	0.0	3.0	2.0	0.0	1.0	3.0	3.0	1.0	3.0	2.0	4.0	2.0	0.0	33.0
quelques_PRO:IND_quelque	1.0	3.0	0.0	1.0	1.0	2.0	1.0	2.0	0.0	4.0	4.0	3.0	1.0	3.0	2.0	4.0	1.0	33.0
amoureux_NOM_amoureux	0.0	1.0	4.0	2.0	1.0	2.0	3.0	4.0	2.0	0.0	6.0	3.0	1.0	1.0	2.0	1.0	0.0	33.0
peintre_NOM_peintre	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	2.0	0.0	5.0	2.0	8.0	0.0	0.0	10.0	0.0	32.0
place_NOM_place	2.0	2.0	2.0	4.0	3.0	0.0	4.0	1.0	3.0	0.0	2.0	2.0	3.0	1.0	2.0	0.0	1.0	32.0
doigts_NOM_doigt	2.0	2.0	3.0	2.0	2.0	4.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	0.0	1.0	2.0	1.0	32.0
devait_VER:impf_devoir	0.0	0.0	1.0	2.0	3.0	4.0	4.0	2.0	5.0	0.0	6.0	1.0	0.0	2.0	2.0	0.0	0.0	32.0
chambre_NOM_chambre	0.0	4.0	3.0	0.0	0.0	3.0	0.0	4.0	2.0	2.0	1.0	2.0	3.0	2.0	3.0	1.0	2.0	32.0
Quand_KON_quand	0.0	0.0	1.0	4.0	1.0	4.0	2.0	2.0	2.0	1.0	4.0	2.0	1.0	2.0	1.0	2.0	2.0	31.0
main_NOM_main	2.0	3.0	1.0	2.0	0.0	2.0	5.0	0.0	1.0	3.0	4.0	1.0	0.0	0.0	2.0	4.0	1.0	31.0
bouche_NOM_bouche	4.0	0.0	2.0	3.0	1.0	3.0	6.0	5.0	0.0	2.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0	31.0
pourtant_ADV_pourtant	4.0	2.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	5.0	3.0	1.0	3.0	3.0	2.0	31.0
moment_NOM_moment	1.0	4.0	3.0	1.0	0.0	1.0	2.0	4.0	0.0	2.0	2.0	3.0	0.0	1.0	4.0	2.0	1.0	31.0
as_VER:pres_avoir	0.0	0.0	0.0	1.0	0.0	2.0	3.0	4.0	0.0	8.0	0.0	0.0	3.0	0.0	5.0	5.0	0.0	31.0
petit_ADJ_petit	5.0	2.0	4.0	3.0	2.0	1.0	3.0	2.0	1.0	2.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	30.0
dix_NUM_dix	2.0	1.0	4.0	3.0	3.0	1.0	3.0	1.0	2.0	4.0	1.0	2.0	2.0	1.0	0.0	0.0	0.0	30.0
bonne_ADJ_bon	1.0	3.0	5.0	5.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	3.0	3.0	2.0	2.0	1.0	30.0
Ce_PRO:DEM_ce	1.0	1.0	2.0	4.0	2.0	1.0	2.0	3.0	1.0	2.0	2.0	2.0	0.0	0.0	1.0	6.0	0.0	30.0
coups_NOM_coup	2.0	0.0	5.0	1.0	3.0	2.0	2.0	2.0	1.0	3.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	30.0
va_VER:pres_aller	3.0	5.0	0.0	1.0	0.0	2.0	1.0	3.0	1.0	2.0	0.0	3.0	3.0	1.0	1.0	1.0	3.0	30.0
sais_VER:pres_savoir	2.0	1.0	1.0	0.0	0.0	2.0	1.0	4.0	2.0	6.0	0.0	3.0	2.0	2.0	2.0	2.0	0.0	30.0
tant_ADV_tant	1.0	2.0	4.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	3.0	0.0	0.0	6.0	0.0	1.0	30.0
amant_NOM_amant	2.0	1.0	3.0	4.0	2.0	1.0	0.0	0.0	0.0	1.0	6.0	2.0	5.0	1.0	0.0	1.0	0.0	29.0
loin_ADV_loin	1.0	3.0	0.0	2.0	1.0	3.0	4.0	3.0	0.0	3.0	2.0	0.0	1.0	6.0	0.0	0.0	0.0	29.0
Tu_PRO:PER_tu	0.0	0.0	2.0	1.0	0.0	3.0	0.0	4.0	0.0	9.0	1.0	1.0	5.0	0.0	3.0	0.0	0.0	29.0
dit_VER:pper_dire	0.0	0.0	0.0	1.0	2.0	2.0	1.0	3.0	3.0	3.0	1.0	2.0	0.0	1.0	6.0	2.0	2.0	29.0
assez_ADV_assez	3.0	0.0	3.0	3.0	1.0	2.0	0.0	2.0	2.0	4.0	0.0	1.0	3.0	2.0	0.0	1.0	2.0	29.0
enfant_NOM_enfant	0.0	2.0	4.0	1.0	0.0	1.0	1.0	1.0	4.0	3.0	4.0	1.0	1.0	2.0	4.0	0.0	0.0	29.0
peine_NOM_peine	0.0	1.0	1.0	2.0	1.0	2.0	1.0	0.0	3.0	1.0	5.0	1.0	3.0	6.0	2.0	0.0	0.0	29.0
vie_NOM_vie	0.0	2.0	2.0	3.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	2.0	3.0	3.0	1.0	0.0	28.0
abord_NOM_abord	0.0	0.0	0.0	0.0	2.0	4.0	3.0	4.0	5.0	1.0	2.0	4.0	2.0	0.0	0.0	1.0	0.0	28.0
-ce_PRO:DEM_ce	2.0	4.0	1.0	3.0	1.0	3.0	2.0	2.0	1.0	4.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	28.0
coeur_NOM_cœur	2.0	1.0	3.0	1.0	0.0	1.0	3.0	0.0	0.0	3.0	1.0	2.0	2.0	2.0	3.0	3.0	1.0	28.0
non_ADV_non	1.0	1.0	0.0	2.0	3.0	3.0	0.0	0.0	2.0	3.0	2.0	1.0	2.0	3.0	1.0	3.0	1.0	28.0
table_NOM_table	3.0	4.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	3.0	2.0	3.0	0.0	0.0	2.0	2.0	3.0	28.0
mot_NOM_mot	0.0	4.0	0.0	4.0	0.0	1.0	0.0	0.0	1.0	1.0	3.0	1.0	2.0	6.0	1.0	3.0	1.0	28.0
derrière_PRP_derrière	1.0	0.0	1.0	4.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	3.0	4.0	2.0	0.0	4.0	0.0	28.0
pour_KON_pour	0.0	1.0	2.0	0.0	2.0	3.0	1.0	3.0	2.0	6.0	0.0	1.0	1.0	1.0	1.0	3.0	1.0	28.0
jambes_NOM_jambe	2.0	8.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	0.0	0.0	2.0	1.0	2.0	0.0	2.0	0.0	28.0
rien_NOM_rien	1.0	4.0	1.0	1.0	3.0	1.0	1.0	6.0	0.0	0.0	2.0	4.0	1.0	0.0	1.0	0.0	2.0	28.0
minutes_NOM_minute	0.0	1.0	0.0	0.0	3.0	2.0	2.0	1.0	2.0	1.0	2.0	4.0	3.0	2.0	1.0	2.0	1.0	27.0
grande_ADJ_grand	7.0	1.0	2.0	2.0	3.0	1.0	1.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	27.0
veux_VER:pres_vouloir	1.0	0.0	0.0	1.0	1.0	5.0	1.0	3.0	1.0	8.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	27.0
cheveux_NOM_cheveu	3.0	2.0	4.0	2.0	2.0	4.0	0.0	3.0	0.0	2.0	1.0	0.0	2.0	0.0	1.0	1.0	0.0	27.0
Eh_INT_eh	2.0	1.0	0.0	1.0	1.0	3.0	2.0	3.0	3.0	2.0	0.0	1.0	1.0	1.0	0.0	4.0	2.0	27.0
garçon_NOM_garçon	0.0	3.0	0.0	2.0	4.0	2.0	0.0	2.0	2.0	7.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	27.0
chose_NOM_chose	0.0	2.0	1.0	2.0	2.0	3.0	1.0	3.0	2.0	1.0	4.0	3.0	0.0	0.0	1.0	1.0	1.0	27.0
enfants_NOM_enfant	3.0	2.0	0.0	2.0	4.0	3.0	1.0	1.0	4.0	0.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	27.0
boire_VER:infi_boire	1.0	0.0	3.0	2.0	4.0	4.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0	0.0	1.0	1.0	0.0	27.0
quoi_PRO_quoi	1.0	0.0	2.0	0.0	0.0	2.0	1.0	1.0	6.0	3.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	27.0
verre_NOM_verre	2.0	3.0	2.0	0.0	5.0	2.0	1.0	0.0	2.0	2.0	4.0	0.0	0.0	1.0	0.0	3.0	0.0	27.0
bout_NOM_bout	2.0	2.0	3.0	0.0	2.0	1.0	1.0	1.0	2.0	1.0	4.0	3.0	2.0	0.0	1.0	1.0	1.0	27.0
nuit_NOM_nuit	2.0	3.0	2.0	0.0	0.0	2.0	3.0	2.0	1.0	1.0	4.0	0.0	1.0	0.0	1.0	1.0	3.0	26.0
fût_VER:subi_être	0.0	2.0	0.0	4.0	1.0	5.0	0.0	3.0	1.0	0.0	1.0	0.0	1.0	3.0	1.0	2.0	2.0	26.0
côté_NOM_côté	0.0	1.0	1.0	0.0	0.0	1.0	3.0	3.0	3.0	1.0	2.0	2.0	1.0	0.0	3.0	5.0	0.0	26.0
un_NOM_un	0.0	3.0	4.0	0.0	2.0	2.0	3.0	1.0	0.0	2.0	3.0	0.0	1.0	3.0	0.0	2.0	0.0	26.0
dès_PRP_dès	6.0	2.0	2.0	1.0	1.0	1.0	4.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	2.0	1.0	1.0	26.0
seulement_ADV_seulement	2.0	2.0	2.0	3.0	2.0	0.0	3.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	3.0	1.0	1.0	26.0
nouveau_ADJ_nouveau	1.0	4.0	1.0	3.0	4.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	5.0	1.0	0.0	2.0	0.0	26.0
parce_KON_parce	3.0	0.0	2.0	1.0	1.0	2.0	1.0	1.0	3.0	1.0	1.0	0.0	1.0	4.0	0.0	2.0	2.0	25.0
face_NOM_face	2.0	2.0	2.0	0.0	1.0	4.0	1.0	1.0	1.0	2.0	2.0	2.0	0.0	1.0	0.0	3.0	1.0	25.0
sont_VER:pres_être	2.0	3.0	1.0	1.0	1.0	3.0	1.0	3.0	1.0	0.0	0.0	2.0	4.0	1.0	1.0	0.0	1.0	25.0
semblait_VER:impf_sembler	1.0	2.0	0.0	0.0	5.0	3.0	2.0	2.0	1.0	1.0	1.0	2.0	0.0	2.0	0.0	3.0	0.0	25.0
rouge_ADJ_rouge	3.0	0.0	2.0	4.0	2.0	3.0	1.0	1.0	1.0	0.0	2.0	1.0	2.0	0.0	1.0	1.0	1.0	25.0
ont_VER:pres_avoir	1.0	1.0	1.0	3.0	1.0	0.0	1.0	4.0	1.0	0.0	0.0	1.0	4.0	2.0	1.0	2.0	2.0	25.0
dos_NOM_dos	3.0	2.0	1.0	1.0	3.0	0.0	2.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	0.0	0.0	1.0	24.0
pourrait_VER:cond_pouvoir	0.0	0.0	0.0	2.0	2.0	3.0	2.0	0.0	3.0	0.0	0.0	2.0	3.0	2.0	5.0	0.0	0.0	24.0
patron_NOM_patron	4.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	5.0	0.0	2.0	0.0	5.0	0.0	2.0	24.0
fond_NOM_fond	1.0	3.0	1.0	3.0	1.0	0.0	0.0	3.0	1.0	1.0	4.0	1.0	1.0	1.0	2.0	1.0	0.0	24.0
faut_VER:pres_falloir	0.0	0.0	0.0	0.0	2.0	3.0	0.0	5.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	24.0
une_NUM_un	3.0	2.0	1.0	0.0	3.0	1.0	1.0	4.0	0.0	2.0	1.0	2.0	0.0	0.0	2.0	1.0	1.0	24.0
coin_NOM_coin	3.0	0.0	0.0	0.0	2.0	2.0	1.0	1.0	1.0	2.0	3.0	2.0	2.0	2.0	2.0	1.0	0.0	24.0
boulevard_NOM_boulevard	2.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	7.0	6.0	0.0	2.0	0.0	24.0
pieds_NOM_pied	2.0	4.0	4.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	3.0	1.0	0.0	1.0	1.0	0.0	24.0
long_NOM_long	3.0	1.0	0.0	1.0	2.0	3.0	3.0	3.0	0.0	1.0	2.0	2.0	2.0	1.0	0.0	0.0	0.0	24.0
peut-être_ADV_peut-être	0.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	5.0	2.0	3.0	0.0	0.0	3.0	2.0	1.0	0.0	24.0
fin_NOM_fin	2.0	2.0	1.0	0.0	2.0	0.0	2.0	2.0	1.0	3.0	3.0	1.0	1.0	0.0	1.0	2.0	1.0	24.0
avant_PRP_avant	1.0	0.0	1.0	2.0	0.0	1.0	0.0	4.0	3.0	2.0	1.0	2.0	1.0	3.0	2.0	0.0	1.0	24.0
Chaudrut_NAM_chaudrut	0.0	0.0	5.0	3.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	4.0	1.0	4.0	24.0
beau_ADJ_beau	0.0	0.0	1.0	0.0	1.0	3.0	0.0	1.0	0.0	4.0	2.0	2.0	2.0	2.0	2.0	1.0	3.0	24.0
On_PRO:PER_on	4.0	2.0	1.0	2.0	1.0	2.0	4.0	1.0	2.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	24.0
robe_NOM_robe	0.0	2.0	1.0	1.0	2.0	1.0	2.0	3.0	0.0	0.0	2.0	5.0	5.0	0.0	0.0	0.0	0.0	24.0
pu_VER:pper_pouvoir	0.0	2.0	2.0	1.0	1.0	0.0	0.0	4.0	2.0	0.0	0.0	2.0	1.0	3.0	0.0	3.0	3.0	24.0
Sa_DET:POS_son	0.0	2.0	4.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	2.0	3.0	1.0	0.0	5.0	2.0	0.0	23.0
cet_PRO:DEM_ce	1.0	0.0	1.0	1.0	0.0	3.0	3.0	0.0	0.0	1.0	2.0	0.0	2.0	1.0	2.0	5.0	1.0	23.0
presque_ADV_presque	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	3.0	3.0	2.0	2.0	3.0	1.0	2.0	23.0
vraiment_ADV_vraiment	1.0	2.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	0.0	2.0	3.0	0.0	3.0	0.0	1.0	0.0	23.0
joie_NOM_joie	0.0	2.0	1.0	1.0	2.0	2.0	2.0	3.0	2.0	0.0	1.0	2.0	0.0	0.0	3.0	1.0	1.0	23.0
fait_VER:pres_faire	3.0	1.0	0.0	1.0	0.0	2.0	1.0	3.0	3.0	0.0	0.0	1.0	0.0	2.0	1.0	2.0	3.0	23.0
amour_NOM_amour	1.0	0.0	5.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	2.0	1.0	2.0	2.0	2.0	3.0	0.0	23.0
grand_ADJ_grand	1.0	3.0	1.0	2.0	2.0	1.0	0.0	2.0	1.0	1.0	2.0	1.0	1.0	3.0	1.0	1.0	0.0	23.0
